N1,N2,N3,N4,N5,N6,N7,N8,N9,M1,M2,M3,,,,,,,,,
0.0321,0.0101,5.9694024673,4.5106244057,10.1435503406,0.2353826053,4.0001,3.0001,0.5553209424,RAISE,LOWER,RAISE,"PARTICIPANTS FOR EXAMPLE MAY USE 80% ENTRIES FOR TRAINING AND THEN FEED IN REMAINING 20% WITHOUT THE M VALUES, THE MACHINE LEARNING CODE SHOULD PREDICT M VALUES USING THE DECISION TREE IT FORMED USING THE TRAINING DATASET FOR EACH CONTROL OUTPUT, IN SHORT THE CODE LEARNS AT WHICH POINT OPERATOR WILL DO WHAT ACTION",,,,,,,,
0.0311,0.0111,6.0115418929,4.1741478733,10.1435503406,0.264681868,4.4001,3.3001,0.588492418,RAISE,LOWER,RAISE,THE SCOPE OF PREDICTED CONTROL OUTPUT FOR THE 20% DATASET VALUES CAN BE TABULATED AND COMPARED WITH THE ACTUAL DATASET VALUES,,,,,,,,
0.0301,0.0121,6.849413621,4.1320084477,10.1435503406,0.2880368437,4.8001,3.6001,0.5926467254,RAISE,LOWER,RAISE,,,,,,,,,
0.0291,0.0131,7.7525578638,3.2941367196,10.1435503406,0.3315295071,5.2001,3.9001,0.6752481519,RAISE,LOWER,RAISE,,,,,,,,,
0.0281,0.0141,8.521982812,2.3909924768,10.1435503406,0.4706882879,5.6001,4.2001,0.764284457,RAISE,LOWER,RAISE,,,,,,,,,
0.0271,0.0151,8.715516887,1.6215675286,10.1435503406,0.7128406212,6.0001,4.5001,0.8401380706,RAISE,LOWER,RAISE,,,,,,,,,
0.0261,0.0161,9.1009809286,1.4280334536,10.1435503406,1.0749496069,6.4001,4.8001,0.8592175909,RAISE,LOWER,RAISE,,,,,,,,,
0.0251,0.0171,9.9954594289,1.042569412,10.1435503406,1.2746173286,6.8001,5.1001,0.8972184909,RAISE,LOWER,RAISE,,,,,,,,,
0.0241,0.0181,7.6222487474,0.1480909117,10.1435503406,1.9174664659,7.2001,5.4001,0.9854004854,HOLD,STOP,HOLD,,,,,,,,,
0.0001,0.0181,7.6532181132,2.5213015932,10.1435503406,10.2940128633,7.2001,5.4001,0.7514379573,RAISE,HOLD,RAISE,N1,N2,N3,N4,N5,N6,M1,M2,M3
0.0001,0.0191,8.6163184372,2.4903322274,10.1435503406,0.6070847005,7.6001,5.7001,0.7544910664,RAISE,RAISE,RAISE,0.1230411522,0.1273815296,0.1076406055,0.1130455715,0.1163787528,0.1107358369,0.1189668088,0.1074393933,0.1165125832
0.0201,0.0201,8.7254691721,1.5272319034,10.1435503406,0.6919814427,8.0001,6.0001,0.8494381304,RAISE,RAISE,RAISE,0.1097894951,0.1210853952,0.1065359681,0.1067947637,0.113698563,0.1066324034,0.1229861308,0.1258470879,0.1162301969
0.0401,0.0211,9.0137606706,1.4180811685,10.1435503406,1.142651506,8.4001,6.3001,0.8601987351,RAISE,RAISE,RAISE,0.1120517262,0.129652008,0.1150799817,0.1201396281,0.1281310258,0.1248492241,0.1174065158,0.1175923164,0.1200307735
0.0601,0.0221,9.3766153347,1.12978967,10.1435503406,1.2712615993,8.8001,6.6001,0.8886198982,RAISE,LOWER,RAISE,0.1106206542,0.1099393022,0.1264033709,0.1183730353,0.1066488714,0.1087264695,0.1151817783,0.125874129,0.1270958507
0.0591,0.0231,9.3836621247,0.7669350059,10.1435503406,1.6598868946,9.2001,6.9001,0.9243918569,RAISE,LOWER,RAISE,,,,,,,,,
0.0581,0.0241,6.7832619356,0.7598882159,10.1435503406,2.4470553704,9.6001,7.2001,0.9250865633,RAISE,LOWER,RAISE,,ABOVE IS RANDOM  SET FOR TESTING OFF NORMAL CONDITIONS,,,,,,,
0.0571,0.0251,7.5405637332,3.360288405,10.1435503406,1.7853315248,10.0001,7.5001,0.6687266004,RAISE,LOWER,RAISE,,EQUATIONS ARE SET IN FIRST ROW. EXTEND DATASET BY SELECT AND DRAG RIGHT BOTTOM,,,,,,,
0.0561,0.0261,7.5851961104,2.6029866074,10.1435503406,0.4488045563,10.4001,7.8001,0.7433850555,RAISE,LOWER,RAISE,,,,,,,,,
0.0551,0.0271,8.4701800595,2.5583542302,10.1435503406,0.5828071561,10.8001,8.1001,0.74778513,RAISE,LOWER,RAISE,,,,,,,,,
0.0541,0.0281,8.80290945,1.6733702811,10.1435503406,0.6621585048,11.2001,8.4001,0.835031106,RAISE,LOWER,RAISE,,,,,,,,,
0.0531,0.0291,8.8956196524,1.3406408906,10.1435503406,1.0521173406,11.6001,8.7001,0.8678331703,RAISE,LOWER,RAISE,,,,,,,,,
0.0521,0.0301,9.4419513797,1.2479306882,10.1435503406,1.3270697194,12.0001,9.0001,0.8769729881,RAISE,LOWER,RAISE,,,,,,,,,
0.0511,0.0311,10.4159664518,0.7015989609,10.1435503406,1.5132172755,12.4001,9.3001,0.9308329986,RAISE,LOWER,RAISE,,,,,,,,,
0.0501,0.0321,2.8630496846,-0.2724161112,10.1435503406,2.9692080612,12.8001,9.6001,1.026856091,STOP,LOWER,STOP,,,,,,,,,
0.0491,0.0001,2.9510718036,7.280500656,10.1435503406,-2.101967958,0.0001,0.0001,0.282253214,RAISE,LOWER,RAISE,,,,,,,,,
0.0481,0.0011,3.6028894618,7.192478537,10.1435503406,0.081067826,0.4001,0.3001,0.290930858,RAISE,LOWER,RAISE,,,,,,,,,
0.0471,0.0021,3.6516615936,6.5406608788,10.1435503406,0.1001849208,0.8001,0.6001,0.3551901791,RAISE,LOWER,RAISE,,,,,,,,,
0.0461,0.0031,3.8888046013,6.491888747,10.1435503406,0.1116603249,1.2001,0.9001,0.3599983705,RAISE,LOWER,RAISE,,,,,,,,,
0.0451,0.0041,4.5051606857,6.2547457392,10.1435503406,0.1198050291,1.6001,1.2001,0.3833770692,RAISE,LOWER,RAISE,,,,,,,,,
0.0441,0.0051,5.4143530256,5.6383896549,10.1435503406,0.1440557578,2.0001,1.5001,0.4441404177,RAISE,LOWER,RAISE,,,,,,,,,
0.0431,0.0061,6.382115576,4.729197315,10.1435503406,0.1920531697,2.4001,1.8001,0.5337729733,RAISE,LOWER,RAISE,,,,,,,,,
0.0421,0.0071,6.5754922985,3.7614347646,10.1435503406,0.2699026981,2.8001,2.1001,0.6291796621,RAISE,LOWER,RAISE,,,,,,,,,
0.0411,0.0081,7.2041697015,3.5680580421,10.1435503406,0.3496268158,3.2001,2.4001,0.6482436699,RAISE,LOWER,RAISE,,,,,,,,,
0.0401,0.0091,8.0445886785,2.9393806391,10.1435503406,0.4038146026,3.6001,2.7001,0.7102217133,RAISE,LOWER,RAISE,,,,,,,,,
0.0391,0.0101,8.7054268879,2.0989616621,10.1435503406,0.5473662425,4.0001,3.0001,0.7930742598,RAISE,LOWER,RAISE,,,,,,,,,
0.0381,0.0111,9.0157195785,1.4381234527,10.1435503406,0.8294984177,4.4001,3.3001,0.8582228703,RAISE,LOWER,RAISE,,,,,,,,,
0.0371,0.0121,9.474100792,1.1278307621,10.1435503406,1.2538171965,4.8001,3.6001,0.8888130167,RAISE,LOWER,RAISE,,,,,,,,,
0.0361,0.0131,10.0431645061,0.6694495486,10.1435503406,1.68005717,5.2001,3.9001,0.9340024423,RAISE,LOWER,RAISE,,,,,,,,,
0.0351,0.0141,0.3525719051,0.1003858345,10.1435503406,3.0004246106,5.6001,4.2001,0.9901034814,HOLD,LOWER,HOLD,,,,,,,,,
0.0341,0.0141,1.3264970006,9.7909784355,10.1435503406,0.7024335792,5.6001,4.2001,0.0347582349,RAISE,LOWER,RAISE,,,,,,,,,
0.0331,0.0151,1.9458000016,8.81705334,10.1435503406,0.0270963114,6.0001,4.5001,0.130772457,RAISE,LOWER,RAISE,,,,,,,,,
0.0321,0.0161,2.4364880793,8.197750339,10.1435503406,0.0441371947,6.4001,4.8001,0.1918263267,RAISE,LOWER,RAISE,,,,,,,,,
0.0311,0.0171,3.1095744874,7.7070622613,10.1435503406,0.0594428466,6.8001,5.1001,0.2402007184,RAISE,LOWER,RAISE,,,,,,,,,
0.0301,0.0181,3.4533634368,7.0339758532,10.1435503406,0.0806941577,7.2001,5.4001,0.3065568152,RAISE,LOWER,RAISE,,,,,,,,,
0.0291,0.0191,3.5848846949,6.6901869038,10.1435503406,0.0981909381,7.6001,5.7001,0.340449184,RAISE,LOWER,RAISE,,,,,,,,,
0.0281,0.0201,3.9912778288,6.5586656457,10.1435503406,0.1071684468,8.0001,6.0001,0.3534151825,RAISE,LOWER,RAISE,,,,,,,,,
0.0271,0.0211,4.6690847172,6.1522725118,10.1435503406,0.1217100564,8.4001,6.3001,0.3934793731,RAISE,HOLD,RAISE,,,,,,,,,
0.0271,0.0221,5.420173543,5.4744656234,10.1435503406,0.1517840671,8.8001,6.6001,0.4603008375,RAISE,RAISE,RAISE,,,,,,,,,
0.0471,0.0231,5.9915272973,4.7233767976,10.1435503406,0.1980165341,9.2001,6.9001,0.534346788,RAISE,RAISE,RAISE,,,,,,,,,
0.0671,0.0241,6.6418759519,4.1520230433,10.1435503406,0.2536967747,9.6001,7.2001,0.5906735902,RAISE,LOWER,RAISE,,,,,,,,,
0.0661,0.0251,7.4295593217,3.5016743887,10.1435503406,0.3199344456,10.0001,7.5001,0.6547880899,RAISE,LOWER,RAISE,,,,,,,,,
0.0651,0.0261,7.4578402625,2.7139910189,10.1435503406,0.4243432425,10.4001,7.8001,0.7324417065,RAISE,LOWER,RAISE,,,,,,,,,
0.0641,0.0271,8.3479075307,2.6857100781,10.1435503406,0.5495847415,10.8001,8.1001,0.7352297777,RAISE,LOWER,RAISE,,,,,,,,,
0.0631,0.0281,8.9678004672,1.7956428099,10.1435503406,0.6216536624,11.2001,8.4001,0.8229768918,RAISE,LOWER,RAISE,,,,,,,,,
0.0621,0.0291,9.2728984152,1.1757498734,10.1435503406,0.9988401277,11.6001,8.7001,0.8840889202,RAISE,LOWER,RAISE,,,,,,,,,
0.0611,0.0301,9.3408570986,0.8706519254,10.1435503406,1.5773590328,12.0001,9.0001,0.9141669439,RAISE,LOWER,RAISE,,,,,,,,,
0.0601,0.0311,10.0178085099,0.802693242,10.1435503406,2.1457156014,12.4001,9.3001,0.9208666379,RAISE,LOWER,RAISE,,,,,,,,,
0.0591,0.0321,2.3911545366,0.1257418307,10.1435503406,2.4960490474,12.8001,9.6001,0.9876037653,HOLD,LOWER,HOLD,,,,,,,,,
0.0581,0.0321,2.5320321992,7.752395804,10.1435503406,3.803276163,12.8001,9.6001,0.2357315197,RAISE,LOWER,RAISE,,,,,,,,,
0.0571,0.0331,3.4351508311,7.6115181414,10.1435503406,0.0653225729,13.2001,9.9001,0.2496199175,RAISE,LOWER,RAISE,,,,,,,,,
0.0561,0.0341,4.0960546498,6.7083995095,10.1435503406,0.0902619101,13.6001,10.2001,0.3386536977,RAISE,LOWER,RAISE,,,,,,,,,
0.0551,0.0351,4.3177995223,6.0474956908,10.1435503406,0.1221171948,14.0001,10.5001,0.4038087762,RAISE,LOWER,RAISE,,,,,,,,,
0.0541,0.0361,4.6837056808,5.8257508183,10.1435503406,0.1427962827,14.4001,10.8001,0.4256694527,RAISE,LOWER,RAISE,,,,,,,,,
0.0531,0.0371,5.5350945119,5.4598446598,10.1435503406,0.1607932034,14.8001,11.1001,0.4617422425,RAISE,HOLD,RAISE,,,,,,,,,
0.0531,0.0381,6.3662954214,4.6084558287,10.1435503406,0.2027564833,15.2001,11.4001,0.54567625,RAISE,HOLD,RAISE,,,,,,,,,
0.0531,0.0391,7.0794523413,3.7772549192,10.1435503406,0.2762875748,15.6001,11.7001,0.6276200352,RAISE,HOLD,RAISE,,,,,,,,,
0.0531,0.0401,7.8598405519,3.0640979993,10.1435503406,0.3748464159,16.0001,12.0001,0.6979264758,RAISE,HOLD,RAISE,,,,,,,,,
0.0531,0.0411,8.1311904012,2.2837097887,10.1435503406,0.5130280137,16.4001,12.3001,0.7748609006,RAISE,HOLD,RAISE,,,,,,,,,
0.0531,0.0421,8.3123177788,2.0123599394,10.1435503406,0.7121036518,16.8001,12.6001,0.8016118744,RAISE,RAISE,RAISE,,,,,,,,,
0.0731,0.0431,9.2843351918,1.8312325618,10.1435503406,0.8261263421,17.2001,12.9001,0.8194682828,RAISE,RAISE,RAISE,,,,,,,,,
0.0931,0.0441,1.5069380824,0.8592151488,10.1435503406,1.0139984823,17.6001,13.2001,0.9152944364,RAISE,LOWER,RAISE,,,,,,,,,
0.0921,0.0451,1.698445188,8.6366122582,10.1435503406,0.3507708365,18.0001,13.5001,0.1485612071,RAISE,LOWER,RAISE,,,,,,,,,
0.0911,0.0461,2.0395511927,8.4451051526,10.1435503406,0.0393312826,18.4001,13.8001,0.167440899,RAISE,LOWER,RAISE,,,,,,,,,
0.0901,0.0471,2.6338945869,8.1039991479,10.1435503406,0.0483013806,18.8001,14.1001,0.2010687702,RAISE,LOWER,RAISE,,,,,,,,,
0.0891,0.0481,3.5570883178,7.5096557537,10.1435503406,0.0650023412,19.2001,14.4001,0.2596620018,RAISE,LOWER,RAISE,,,,,,,,,
0.0881,0.0491,3.6883730481,6.5864620227,10.1435503406,0.0947337251,19.6001,14.7001,0.3506748819,RAISE,LOWER,RAISE,,,,,,,,,
0.0871,0.0501,4.2828211866,6.4551772925,10.1435503406,0.1119986128,20.0001,15.0001,0.3636175623,RAISE,LOWER,RAISE,,,,,,,,,
0.0861,0.0511,4.7894252883,5.860729154,10.1435503406,0.1326941459,20.4001,15.3001,0.4222211201,RAISE,LOWER,RAISE,,,,,,,,,
0.0851,0.0521,5.4252349536,5.3541250523,10.1435503406,0.1634412771,20.8001,15.6001,0.4721645901,RAISE,LOWER,RAISE,,,,,,,,,
0.0841,0.0531,6.4162204844,4.718315387,10.1435503406,0.202656266,21.2001,15.9001,0.5348457662,RAISE,LOWER,RAISE,,,,,,,,,
0.0831,0.0541,6.8527876109,3.7273298562,10.1435503406,0.2719708183,21.6001,16.2001,0.6325418881,RAISE,LOWER,RAISE,,,,,,,,,
0.0821,0.0551,6.8986817605,3.2907627296,10.1435503406,0.3677049188,22.0001,16.5001,0.675580776,RAISE,LOWER,RAISE,,,,,,,,,
0.0811,0.0561,7.332242218,3.2448685801,10.1435503406,0.4192755496,22.4001,16.8001,0.6801052421,RAISE,HOLD,RAISE,,,,,,,,,
0.0811,0.0571,7.4462302501,2.8113081226,10.1435503406,0.4519284549,22.8001,17.1001,0.7228477182,RAISE,HOLD,RAISE,,,,,,,,,
0.0811,0.0581,8.0410635053,2.6973200905,10.1435503406,0.5297341967,23.2001,17.4001,0.7340852069,RAISE,HOLD,RAISE,,,,,,,,,
0.0811,0.0591,8.4579550572,2.1024868353,10.1435503406,0.5962261234,23.6001,17.7001,0.7927267313,RAISE,HOLD,RAISE,,,,,,,,,
0.0811,0.0601,8.8740588694,1.6855952834,10.1435503406,0.8045667554,24.0001,18.0001,0.8338259064,RAISE,HOLD,RAISE,,,,,,,,,
0.0811,0.0611,9.269275546,1.2694914712,10.1435503406,1.0529287732,24.4001,18.3001,0.8748474224,RAISE,HOLD,RAISE,,,,,,,,,
0.0811,0.0621,9.9336207575,0.8742747945,10.1435503406,1.4603131658,24.8001,18.6001,0.913809784,RAISE,HOLD,RAISE,,,,,,,,,
0.0811,0.0631,7.3518556794,0.2099295831,10.1435503406,2.2724252877,25.2001,18.9001,0.9793041316,RAISE,HOLD,STOP,,,,,,,,,
0.0811,0.0641,8.346494698,2.7916946612,10.1435503406,7.0041159228,0.0001,0.0001,0.7247813076,RAISE,RAISE,RAISE,,,,,,,,,
0.1011,0.0651,8.3794020758,1.7970556426,10.1435503406,0.5979518329,0.4001,0.3001,0.8228376079,RAISE,RAISE,RAISE,,,,,,,,,
0.1211,0.0661,9.3696599083,1.7641482648,10.1435503406,0.9325701305,0.8001,0.6001,0.8260817756,RAISE,LOWER,RAISE,,,,,,,,,
0.1201,0.0671,6.3361893735,0.7738904323,10.1435503406,1.0622304367,1.2001,0.9001,0.9237061575,RAISE,LOWER,RAISE,,,,,,,,,
0.1191,0.0681,7.0158687668,3.8073609671,10.1435503406,1.6374900397,1.6001,1.2001,0.6246520361,RAISE,LOWER,RAISE,,,,,,,,,
0.1181,0.0691,7.0560130313,3.1276815738,10.1435503406,0.3685423487,2.0001,1.5001,0.6916581011,RAISE,LOWER,RAISE,,,,,,,,,
0.1171,0.0701,7.9566344148,3.0875373093,10.1435503406,0.4511976597,2.4001,1.8001,0.6956157158,RAISE,LOWER,RAISE,,,,,,,,,
0.1161,0.0711,8.0786475736,2.1869159258,10.1435503406,0.5154032886,2.8001,2.1001,0.7844033053,RAISE,LOWER,RAISE,,,,,,,,,
0.1151,0.0721,8.9499041306,2.064902767,10.1435503406,0.7388164747,3.2001,2.4001,0.7964319496,RAISE,LOWER,RAISE,,,,,,,,,
0.1141,0.0731,9.7302716062,1.19364621,10.1435503406,0.8668596191,3.6001,2.7001,0.8823246132,RAISE,LOWER,RAISE,,,,,,,,,
0.1131,0.0741,7.8850965194,0.4132787344,10.1435503406,1.6303443222,4.0001,3.0001,0.9592569938,RAISE,LOWER,RAISE,,,,,,,,,
0.1121,0.0751,8.8826981487,2.2584538212,10.1435503406,3.8158733384,4.4001,3.3001,0.7773507554,RAISE,LOWER,RAISE,,,,,,,,,
0.1111,0.0761,9.2425351547,1.2608521919,10.1435503406,0.7866176466,4.8001,3.6001,0.8756991241,RAISE,HOLD,RAISE,,,,,,,,,
0.1111,0.0771,9.6061733602,0.9010151859,10.1435503406,1.4660775013,5.2001,3.9001,0.9111735876,RAISE,HOLD,RAISE,,,,,,,,,
0.1111,0.0781,4.9550281638,0.5373769804,10.1435503406,2.1322999902,5.6001,4.2001,0.9470227916,RAISE,HOLD,RAISE,,,,,,,,,
0.1111,0.0791,5.9471154154,5.1885221768,10.1435503406,1.8441534879,6.0001,4.5001,0.4884905184,RAISE,HOLD,RAISE,,,,,,,,,
0.1111,0.0801,6.8860011243,4.1964349252,10.1435503406,0.2292412064,6.4001,4.8001,0.5862952532,RAISE,HOLD,RAISE,,,,,,,,,
0.1111,0.0811,7.0584284595,3.2575492163,10.1435503406,0.3281833865,6.8001,5.1001,0.678855124,RAISE,HOLD,RAISE,,,,,,,,,
0.1111,0.0821,7.8054467126,3.0851218811,10.1435503406,0.4333582083,7.2001,5.4001,0.6958538404,RAISE,HOLD,RAISE,,,,,,,,,
0.1111,0.0831,8.3252507171,2.338103628,10.1435503406,0.5060057277,7.6001,5.7001,0.7694984942,RAISE,HOLD,RAISE,,,,,,,,,
0.1111,0.0841,8.374399306,1.8182996235,10.1435503406,0.7121370172,8.0001,6.0001,0.8207432741,RAISE,HOLD,RAISE,,,,,,,,,
0.1111,0.0851,8.9883681528,1.7691510346,10.1435503406,0.9211242413,8.4001,6.3001,0.8255885784,RAISE,HOLD,RAISE,,,,,,,,,
0.1111,0.0861,9.8535350048,1.1551821878,10.1435503406,1.0161221938,8.8001,6.6001,0.8861165816,RAISE,HOLD,RAISE,,,,,,,,,
0.1111,0.0871,8.4245927151,0.2900153358,10.1435503406,1.7059707306,9.2001,6.9001,0.9714088927,RAISE,RAISE,STOP,,,,,,,,,
0.1311,0.0881,9.2457386509,1.7189576255,10.1435503406,5.8097567097,0.0001,0.0001,0.8305368862,RAISE,RAISE,RAISE,,,,,,,,,
0.1511,0.0891,9.696611521,0.8978116897,10.1435503406,1.0757378208,0.4001,0.3001,0.9114894037,RAISE,HOLD,RAISE,,,,,,,,,
0.1511,0.0901,4.7214906446,0.4469388196,10.1435503406,2.1600546379,0.8001,0.6001,0.9559386206,RAISE,LOWER,RAISE,,,,,,,,,
0.1501,0.0911,5.5210774008,5.422059696,10.1435503406,2.1128129566,1.2001,0.9001,0.465467266,RAISE,LOWER,RAISE,,,,,,,,,
0.1491,0.0921,5.6144483712,4.6224729398,10.1435503406,0.2036524019,1.6001,1.2001,0.5442943758,RAISE,LOWER,RAISE,,,,,,,,,
0.1481,0.0931,6.2174838914,4.5291019694,10.1435503406,0.2429196858,2.0001,1.5001,0.5534993353,RAISE,LOWER,RAISE,,,,,,,,,
0.1471,0.0941,6.3562209255,3.9260664492,10.1435503406,0.2745570285,2.4001,1.8001,0.6129494785,RAISE,LOWER,RAISE,,,,,,,,,
0.1461,0.0951,6.6695318271,3.7873294151,10.1435503406,0.3237958913,2.8001,2.1001,0.6266268429,RAISE,LOWER,RAISE,,,,,,,,,
0.1451,0.0961,7.375460377,3.4740185135,10.1435503406,0.3522023619,3.2001,2.4001,0.6575145391,RAISE,LOWER,RAISE,,,,,,,,,
0.1441,0.0971,8.2417304986,2.7680899636,10.1435503406,0.424606855,3.6001,2.7001,0.7271083723,RAISE,LOWER,RAISE,,,,,,,,,
0.1431,0.0981,8.9374698461,1.901819842,10.1435503406,0.5954814047,4.0001,3.0001,0.812509449,RAISE,HOLD,RAISE,,,,,,,,,
0.1431,0.0991,9.0164924722,1.2060804945,10.1435503406,0.9398860658,4.4001,3.3001,0.8810987816,RAISE,HOLD,RAISE,,,,,,,,,
0.1431,0.1001,9.1941722103,1.1270578684,10.1435503406,1.4951725881,4.8001,3.6001,0.8888892123,RAISE,HOLD,RAISE,,,,,,,,,
0.1431,0.1011,5.2755610879,0.9493781303,10.1435503406,1.6315350734,5.2001,3.9001,0.9064057358,RAISE,HOLD,RAISE,,,,,,,,,
0.1431,0.1021,6.2474701184,4.8679892527,10.1435503406,1.1113719433,5.6001,4.2001,0.5200901963,RAISE,HOLD,RAISE,,,,,,,,,
0.1431,0.1031,6.9957609979,3.8960802222,10.1435503406,0.2566755921,6.0001,4.5001,0.615905665,RAISE,HOLD,RAISE,,,,,,,,,
0.1431,0.1041,7.9531979673,3.1477893427,10.1435503406,0.3591179133,6.4001,4.8001,0.6896757805,RAISE,HOLD,RAISE,,,,,,,,,
0.1431,0.1051,8.7004816667,2.1903523733,10.1435503406,0.5053195816,6.8001,5.1001,0.7840645238,RAISE,HOLD,RAISE,,,,,,,,,
0.1431,0.1061,8.9279939337,1.4430686739,10.1435503406,0.7944367101,7.2001,5.4001,0.8577353466,RAISE,HOLD,RAISE,,,,,,,,,
0.1431,0.1071,9.4223369349,1.2155564069,10.1435503406,1.2373623092,7.6001,5.7001,0.8801646006,RAISE,HOLD,RAISE,,,,,,,,,
0.1431,0.1081,10.1849175982,0.7212134057,10.1435503406,1.5502920114,8.0001,6.0001,0.9288993122,RAISE,HOLD,RAISE,,,,,,,,,
0.1431,0.1091,6.082796064,-0.0413672576,10.1435503406,2.8243838836,8.4001,6.3001,1.0040781833,HOLD,STOP,HOLD,,,,,,,,,
0.0001,0.1091,6.5957255056,4.0607542766,10.1435503406,-29.4087469923,8.4001,6.3001,0.5996713044,RAISE,HOLD,RAISE,,,,,,,,,
0.0001,0.1101,7.3575167541,3.547824835,10.1435503406,0.3248522347,8.8001,6.6001,0.6502383568,RAISE,RAISE,RAISE,,,,,,,,,
0.0201,0.1111,7.9967565663,2.7860335865,10.1435503406,0.4147621202,9.2001,6.9001,0.7253394036,RAISE,RAISE,RAISE,,,,,,,,,
0.0401,0.1121,8.8069753044,2.1467937743,10.1435503406,0.5740603132,9.6001,7.2001,0.7883587401,RAISE,RAISE,RAISE,,,,,,,,,
0.0601,0.1131,9.5250473197,1.3365750362,10.1435503406,0.8204770677,10.0001,7.5001,0.8682340018,RAISE,RAISE,RAISE,,,,,,,,,
0.0801,0.1141,10.2309537107,0.6185030209,10.1435503406,1.4252918185,10.4001,7.8001,0.9390249962,RAISE,RAISE,RAISE,,,,,,,,,
0.1001,0.1151,1.3355924703,-0.0874033701,10.1435503406,3.3082954698,10.8001,8.1001,1.0086166448,HOLD,RAISE,HOLD,,,,,,,,,
0.1201,0.1151,1.8610153331,8.8079578703,10.1435503406,-3.0561578306,10.8001,8.1001,0.1316691321,RAISE,RAISE,RAISE,,,,,,,,,
0.1401,0.1161,2.4968229592,8.2825350075,10.1435503406,0.0422575893,11.2001,8.4001,0.1834678461,RAISE,RAISE,RAISE,,,,,,,,,
0.1601,0.1171,2.4982180827,7.6467273814,10.1435503406,0.0602912745,11.6001,8.7001,0.2461488212,RAISE,RAISE,RAISE,,,,,,,,,
0.1801,0.1181,3.1386426531,7.6453322579,10.1435503406,0.0653408434,12.0001,9.0001,0.2462863592,RAISE,HOLD,RAISE,,,,,,,,,
0.1801,0.1191,3.2029201287,7.0049076875,10.1435503406,0.0821061151,12.4001,9.3001,0.3094224949,RAISE,LOWER,RAISE,,,,,,,,,
0.1791,0.1201,3.836397132,6.9406302119,10.1435503406,0.0914478897,12.8001,9.6001,0.3157592777,RAISE,LOWER,RAISE,,,,,,,,,
0.1781,0.1211,4.6160147434,6.3071532086,10.1435503406,0.1105489564,13.2001,9.9001,0.3782104887,RAISE,HOLD,RAISE,,,,,,,,,
0.1781,0.1221,5.4736189302,5.5275355972,10.1435503406,0.1463739532,13.6001,10.2001,0.4550689441,RAISE,HOLD,RAISE,,,,,,,,,
0.1781,0.1231,5.6242174626,4.6699314104,10.1435503406,0.1980491607,14.0001,10.5001,0.5396156914,RAISE,HOLD,RAISE,,,,,,,,,
0.1781,0.1241,6.2684483893,4.519332878,10.1435503406,0.2408693819,14.4001,10.8001,0.5544624193,RAISE,HOLD,RAISE,,,,,,,,,
0.1781,0.1251,7.2243375086,3.8751019513,10.1435503406,0.2774059162,14.8001,11.1001,0.6179738039,RAISE,HOLD,RAISE,,,,,,,,,
0.1781,0.1261,8.0077819699,2.919212832,10.1435503406,0.3728592228,15.2001,11.4001,0.7122099527,RAISE,HOLD,RAISE,,,,,,,,,
